MIMAT0022259,MIMAT0000071,MIMAT0005880,MIMAT0030987,MIMAT0003240,MIMAT0018978,MIMAT0019776
14.82825552,6.710454523,10.59146621,7.483460393,5.930474835,0.335942756,10.41514402
14.24653664,7.130801966,10.23917031,7.837717618,3.028992158,5.420553578,9.761228103
10.039,0.497,3.029,3.027,8.105,2.466,5.866
10.759,2.166,5.942,2.176,7.966,2.548,5.801
14.45831062,6.776967702,10.34538046,7.030452423,6.454221963,0.194347223,10.1624073
8.493191908,-0.872479715,-0.872479715,7.646914312,-0.872479715,-0.872479715,10.63116913
11.032,3.019,6.162,-4.058,7.583,-4.058,5.674
10.234,-1.972,-2.946,2.075,7.686,-2.946,6.433
14.42612628,6.82351423,10.26627061,6.274192178,3.405181304,0.195406422,9.625690381
14.50418491,6.106210072,10.50280984,7.976425623,6.536100046,1.375319153,10.30737425
14.88803884,7.217535446,10.36849626,6.940238117,5.959521215,0.583540399,10.10402427
11.36,3.503,6.711,3.979,8.032,-3.168,5.954
13.94873921,6.271808837,9.906976391,6.082042144,4.989478397,-0.731034113,9.438935099
15.08331223,7.782734213,11.01814556,6.799719677,5.388174879,0.786517283,10.34124385
12.96716524,5.667937148,8.817954983,5.644779526,5.326887512,2.430235486,8.734315183
13.36440932,6.171320945,9.503202151,5.174241419,3.391075334,3.942071101,8.814510844
11.26108048,3.243011364,6.882548573,0.867980652,6.96963818,-2.806080325,6.147175552
8.717,0.25,-4.085,1.93,7.833,0.925,5.611
10.36928847,5.582840146,6.241884538,4.164873401,6.228169928,0.604692424,7.258634981
10.215,4.065,8.118,3.551,6.728,-3.769,5.993
11.769,3.714,7.231,-2.625,7.414,-2.625,6.224
13.34063742,5.332850267,9.103900558,4.778999844,4.451337586,-0.419106213,8.686209447
14.11701113,6.218159013,10.06528894,6.321668818,4.696690124,-0.545963951,9.682399345
7.631843909,-2.174462604,6.658213621,7.789485118,2.289626095,-2.174462604,10.02030358
10.165,2.36,3.13,2.849,7.458,-3.981,5.728
15.07861389,7.219493772,11.18881246,7.075966339,5.003988618,4.007463444,10.09170439
11.254,3.809,7.116,-3.427,6.181,-3.427,5.859
15.11691836,6.7967047,10.7865204,8.030374097,0.644544677,4.47525804,10.39456113
9.921,2.656,1.365,-2.492,7.845,1.228,6.071
9.583654611,-0.805343221,7.776942584,5.533976242,5.067134137,6.990955422,8.967765431
13.24625864,5.531897084,9.583416854,5.8404334,5.069682058,-0.740062538,9.27146443
11.821,3.482,6.247,-2.392,7.661,-2.392,6.182
7.76517978,-0.962437263,-0.962437263,7.006534326,-0.962437263,-0.962437263,10.04730616
9.431868089,-1.371216324,6.815951429,7.457541988,-1.371216324,-1.371216324,10.05127919
14.71029698,6.71929873,10.25595603,3.114661726,1.276168414,1.276168414,10.07294484
11.342,3.488,6.7,2.212,7.426,-3.585,6.142
